filename,testsuite,type,test,result,start,end,time,shard,strategy
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute gene-based test pipeline with bgen files,PASSED,1708862192460,1708862219551,27.091,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute gene-based test pipeline with specified parameters with sum,PASSED,1708862219554,1708862248742,29.188,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute gene-based test pipeline,PASSED,1708862248742,1708862279731,30.989,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with pruning pipeline,PASSED,1708862279732,1708862321647,41.915,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with additive test and multiple chromosomes,PASSED,1708862321647,1708862363190,41.543,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute liftover and GWAS pipeline with array results,PASSED,1708862363191,1708862402023,38.832,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute liftover and GWAS pipeline,PASSED,1708862402024,1708862439799,37.775,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with additive test and RSIDs,PASSED,1708862439800,1708862480008,40.208,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute pipeline applying an additive model,PASSED,1708862480009,1708862522274,42.265,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute pipeline for binary trait,PASSED,1708862522275,1708862561172,38.897,1,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute gene-based test pipeline with bgen files,PASSED,1708862563517,1708862590911,27.394,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute liftover and GWAS pipeline with array results,PASSED,1708862590919,1708862628461,37.542,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with binary trait (no Firth approximation),PASSED,1708862628461,1708862666406,37.945,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with header in phenotype file (custom batch size),PASSED,1708862666406,1708862734374,67.968,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with dominant test,PASSED,1708862734375,1708862774274,39.899,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with interaction tests (interaction term),PASSED,1708862774274,1708862808838,34.564,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with recessive test,PASSED,1708862808839,1708862848952,40.113,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute gene-based-test with only one output file,PASSED,1708862848952,1708862877128,28.176,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/modules/local/filter_results.nf.test,Test Process FILTER_RESULTS,ProcessTestSuite,Should output an empty file,PASSED,1708862877130,1708862882098,4.968,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/modules/local/regenie_step1.nf.test,Test Process REGENIE_STEP1,ProcessTestSuite,Should execute regenie step 1 for 2 phenotypes ,PASSED,1708862882098,1708862886606,4.508,1,round-robin
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with binary trait (no Firth approximation),PASSED,1708862888877,1708862928293,39.416,2,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with binary trait (no Firth),PASSED,1708862928295,1708862966848,38.553,2,none
/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test,Test Workflow main.nf,PipelineTestSuite,Should execute GWAS with binary trait (with missing data),PASSED,1708862966848,1708863007017,40.169,2,none
